ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
219117_s_at,8.92229355964706,10.172964540759617,1.2506709811125578,5.030683463741039e-06,4.367260581637063e-05
219121_s_at,3.1396909987647064,6.163196175461538,3.0235051766968315,1.0035599961993934e-14,4.1843621873618554e-13
219127_at,3.8489462136470594,6.533291156278846,2.6843449426317867,1.7316856364184026e-10,3.603266120857034e-09
219132_at,4.534606608235294,3.080497847923077,-1.4541087603122174,1.3229072142576354e-11,3.3315090732925254e-10
219134_at,8.448840964058823,6.487598714490384,-1.9612422495684383,5.1018438158341445e-11,1.165077546545656e-09
219140_s_at,11.009412476764707,3.9335528314230768,-7.07585964534163,1.2504392241500148e-24,2.5276934227734687e-22
219147_s_at,9.052039722764706,7.646030652423078,-1.4060090703416277,7.924250151582108e-07,8.157254791082608e-06
219148_at,2.6495402357647055,4.3577492176153845,1.708208981850679,8.711721343618459e-07,8.88742129370751e-06
219154_at,4.8866456133529415,3.792620356451923,-1.0940252569010185,2.3538664304468225e-07,2.6882543608988724e-06
219163_at,7.410357706941177,8.511269933000001,1.1009122260588242,1.3058642135572821e-16,7.347744148035688e-15
219168_s_at,4.065839582235293,2.743648367798077,-1.322191214437216,8.1411860005532e-16,3.9673017028945814e-14
219195_at,4.251732204647059,2.865107943615385,-1.386624261031674,7.549854329393381e-06,6.30355666886892e-05
219202_at,6.121001695529411,7.272021391432692,1.1510196959032815,1.791590362836277e-05,0.0001383463644782699
219204_s_at,4.603104612058823,3.549186867605769,-1.053917744453054,1.3149914348751987e-07,1.5773828027264498e-06
219205_at,5.024808976058824,3.808021959076923,-1.2167870169819013,4.819757220848508e-09,7.642577843018325e-08
219213_at,6.574685394058824,4.998369663326923,-1.5763157307319018,2.9258030323226166e-06,2.6645653879715682e-05
219215_s_at,5.251572689,7.012379840394231,1.7608071513942312,1.4172840699296193e-05,0.00011191135824074256
219226_at,4.808536104235294,5.884836639557691,1.076300535322397,0.0013944412998371037,0.006510454380137663
219230_at,8.062577466235293,3.210142884221154,-4.852434582014139,4.6557398951261837e-23,7.540226342317269e-21
219232_s_at,3.9486878245882355,5.268438719711539,1.3197508951233035,0.00023759286321819483,0.00137806385564143
219236_at,2.6596559631764705,3.675082177673077,1.0154262144966064,0.00016281411822850208,0.0009868246695176153
219242_at,7.202012572,6.130779913288462,-1.071232658711538,5.702277738037974e-07,6.0459359570553535e-06
219244_s_at,7.233093593058824,6.15746595576923,-1.0756276372895934,2.025980611376591e-06,1.9058255047970177e-05
219250_s_at,3.7740626361176473,4.973026084201923,1.1989634480842755,0.012614932101784411,0.0421803822326344
219255_x_at,3.8417628015882355,5.350654204442308,1.5088914028540725,0.00021959807513086,0.0012844757627871832
219257_s_at,4.770906062705882,6.529932484326924,1.7590264216210416,1.1627506683880463e-07,1.4146627001772442e-06
219260_s_at,5.687308793352941,4.352919013538462,-1.3343897798144795,0.00011098388615923007,0.0007033661777385761
219280_at,5.069269097352941,6.209587889182692,1.1403187918297508,6.8716641533573e-07,7.166989448234054e-06
219281_at,7.432078946058824,5.952203268596154,-1.4798756774626698,6.075457527724029e-09,9.422915498881777e-08
219288_at,6.480739084176471,8.592509956567309,2.1117708723908377,6.354466205051551e-09,9.82772487972538e-08
