Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Isoprenoid Biosynthetic Process (GO:0008299),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,PDSS1;HMGCR
GO_Biological_Process_2023,Isoprenoid Metabolic Process (GO:0006720),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,PDSS1;HMGCR
GO_Biological_Process_2023,Kynurenine Metabolic Process (GO:0070189),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,TDO2;KMO
GO_Biological_Process_2023,Lactation (GO:0007595),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,ERBB4;ZBTB7B
GO_Biological_Process_2023,Leptin-Mediated Signaling Pathway (GO:0033210),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,UGCG;BBS4
GO_Biological_Process_2023,Maintenance Of Apical/Basal Cell Polarity (GO:0035090),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC9A3R1;WDR1
GO_Biological_Process_2023,Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045199),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC9A3R1;WDR1
GO_Biological_Process_2023,Manganese Ion Transport (GO:0006828),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC11A2;ATP2C2
GO_Biological_Process_2023,Monocyte Activation (GO:0042117),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,HYAL2;FOXP1
GO_Biological_Process_2023,Negative Regulation Of cAMP-mediated Signaling (GO:0043951),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,UBE2B;MGRN1
GO_Biological_Process_2023,Negative Regulation Of Cholesterol Storage (GO:0010887),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,ABCG1;TTC39B
GO_Biological_Process_2023,Negative Regulation Of Chromosome Organization (GO:2001251),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,TOP2A;ESPL1
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Degranulation (GO:0043301),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CEACAM1;HLA-F
GO_Biological_Process_2023,Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,FXR1;APP
GO_Biological_Process_2023,Negative Regulation Of Mitotic Nuclear Division (GO:0045839),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CHEK1;FBXO5
GO_Biological_Process_2023,Negative Regulation Of Platelet Aggregation (GO:0090331),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CEACAM1;CD9
GO_Biological_Process_2023,Negative Regulation Of Protein Import Into Nucleus (GO:0042308),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,UFM1;SUFU
GO_Biological_Process_2023,Negative Regulation Of Protein-Containing Complex Disassembly (GO:0043242),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,TMEM39A;UBQLN4
GO_Biological_Process_2023,Neuronal Ion Channel Clustering (GO:0045161),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CNTNAP2;PICK1
GO_Biological_Process_2023,Nucleic Acid Transport (GO:0050657),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,HNRNPA2B1;CKAP5
GO_Biological_Process_2023,Peripheral Nervous System Axon Ensheathment (GO:0032292),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,ARHGEF10;SIRT2
GO_Biological_Process_2023,Phosphatidylglycerol Acyl-Chain Remodeling (GO:0036148),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,LPCAT1;MBOAT2
GO_Biological_Process_2023,Positive Regulation Of Actin Cytoskeleton Reorganization (GO:2000251),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,BAIAP2L1;CDK5
GO_Biological_Process_2023,Positive Regulation Of Megakaryocyte Differentiation (GO:0045654),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,HMGB2;ZNF16
GO_Biological_Process_2023,Positive Regulation Of Membrane Invagination (GO:1905155),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,RAB31;F2RL1
GO_Biological_Process_2023,Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CLEC7A;OAS3
GO_Biological_Process_2023,Positive Regulation Of Peptide Secretion (GO:0002793),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,GRP;ILDR1
GO_Biological_Process_2023,Positive Regulation Of Respiratory Burst (GO:0060267),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,RPS19;CLEC7A
GO_Biological_Process_2023,Positive Regulation Of Synapse Maturation (GO:0090129),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CDC20;ANAPC2
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:1903265),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CPNE1;HSPA1A
GO_Biological_Process_2023,Proline Transport (GO:0015824),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC7A5;SLC3A2
GO_Biological_Process_2023,Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,HOOK1;SQSTM1
GO_Biological_Process_2023,Purine Nucleobase Transport (GO:0006863),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC29A3;SLC29A2
